Model,LSTM lag1,LSTM lag5,LSTM lag10,LSTM lag15,LSTM lag20,LSTM lag25,LSTM lag30
"(50,1), Adam, epochs=10, batch_size=32",0.001787175,0.001836018,0.0018665,0.001858072,0.001823297,0.001807006,0.001896146
"(50,1), sgd, epochs=10, batch_size=32",0.001810918,0.003411557,0.005052923,0.004737552,0.00508041,0.004923367,0.005241329
"(50,1), RMSprop, epochs=10, batch_size=32",0.001818378,0.001846005,0.001882447,0.001866837,0.001824916,0.001845351,0.00180648
"(50,1), Adam, epochs=10, batch_size=64",0.001813443,0.002644833,0.002490047,0.002184255,0.0018609,0.001964336,
"(50,1), Adam, epochs=10, batch_size=32, lr=0.1",0.002110009,0.002287643,0.01005788,0.002400925,0.001952284,0.00232056,
"(50,1), Adam, epochs=10, batch_size=32, lr=0.05",0.002075693,0.002236902,0.001830035,0.003923605,0.001886828,0.001954008,
"(50,1), Adam, epochs=10, batch_size=32, lr=0.01",0.00182781,0.001972661,0.002653973,0.001863868,0.00208545,0.001886472,
"(50,1), Adam, epochs=10, batch_size=32, lr=0.005",0.001792166,0.001837968,0.001841081,0.001922597,0.001812091,0.001779987,
"(50,1), Adam, epochs=10, batch_size=32, lr=0.001",0.00182781,0.001972661,0.002653973,0.001863868,0.00208545,0.001886472,
"(100,1), Adam, epochs=10, batch_size=32",0.001802097,0.001810541,,0.001799355,,,
"(50,1), Adam, epochs=10, batch_size=32, drop out=0.1",0.001791337,,,,,,
"(50,50,1), Adam, epochs=10, batch_size=32",0.001795121,,,,,,
"(50,100,1), Adam, epochs=10, batch_size=32",0.001817701,,,,,,
"(50,1), Adam, epochs=30, batch_size=32",0.00180347,,,,,,
"(200,1), Adam, epochs=10, batch_size=32",,0.001828388,,0.001819709,,,
"(100,1), Adam, epochs=10, batch_size=32, drop out 0.1",,0.001969502,,0.001855706,,,
"(100,50,1), Adam, epochs=10, batch_size=32",,0.002128632,,0.001822055,,,
"(100,100,1), Adam, epochs=10, batch_size=32",,0.001800994,,0.001830348,,,
"(100,200,1), Adam, epochs=10, batch_size=32",,0.001885703,,,,,
"(100,100,1), Adam, epochs=10, batch_size=32, drop out 0.1",,0.001845507,,,,,
"(100,100,50,1), Adam, epochs=10, batch_size=32",,0.001842709,,,,,
"(100,100,100,1), Adam, epochs=10, batch_size=32",,0.001859826,,,,,
"(100,100,1), Adam, epochs=30, batch_size=32",,0.001811145,,,,,
"(100,1), Adam, epochs=10, batch_size=32, lr=0.05",,,0.098649789,,,,
"(50,1), Adam, epochs=10, batch_size=32, lr=0.05, drop out=0.1",,,0.002460275,,,,
"(50,50,1), Adam, epochs=10, batch_size=32, lr=0.05",,,0.018170084,,,,
"(50,100,1), Adam, epochs=10, batch_size=32, lr=0.05",,,0.003257583,,,,
"(50,1), Adam, epochs=30, batch_size=32, lr=0.05",,,0.001882719,,,,
"(100,1), Adam, epochs=30, batch_size=32",,,,0.001848109,,,
"(100,1), Adam, epochs=10, batch_size=32, lr=0.005",,,,,0.001967887,0.001817833,
"(50,1), Adam, epochs=10, batch_size=32, lr=0.005, drop out=0.1",,,,,0.002002364,0.001836319,
"(50,50,1), Adam, epochs=10, batch_size=32, lr=0.005",,,,,0.001860597,0.001877519,
"(50,100,1), Adam, epochs=10, batch_size=32, lr=0.005",,,,,0.001899935,0.001980593,
"(50,1), Adam, epochs=30, batch_size=32, lr=0.005",,,,,0.001992137,0.001858276,
"(50,1), RMSprop, epochs=10, batch_size=64",,,,,,,0.001897241
"(50,1), RMSprop, epochs=10, batch_size=32, lr=0.1",,,,,,,0.003750494
"(50,1), RMSprop, epochs=10, batch_size=32, lr=0.05",,,,,,,0.007232798
"(50,1), RMSprop, epochs=10, batch_size=32, lr=0.01",,,,,,,0.00191957
"(50,1), RMSprop, epochs=10, batch_size=32, lr=0.005",,,,,,,0.001884797
"(50,1), RMSprop, epochs=10, batch_size=32, lr=0.001",,,,,,,0.00191957
"(100,1), RMSprop, epochs=10, batch_size=32",,,,,,,0.002001231
"(50,1), RMSprop, epochs=10, batch_size=32, drop out=0.1",,,,,,,0.001815481
"(50,50,1), RMSprop, epochs=10, batch_size=32",,,,,,,0.001805384
"(50,100,1), RMSprop, epochs=10, batch_size=32",,,,,,,0.001809143
"(50,1), RMSprop, epochs=30, batch_size=32",,,,,,,0.001880395
"(50,50,1), RMSprop, epochs=10, batch_size=32, drop out=0.1",,,,,,,0.001876091
"(50,50,50,1), RMSprop, epochs=10, batch_size=32",,,,,,,0.002016363
